iter	RMSE
0	1.555036749
1	1.54755908
2	1.540701571
3	1.534714227
4	1.529328396
5	1.523963074
6	1.519190037
7	1.514897722
8	1.51109687
9	1.507621159
10	1.504354151
11	1.501202849
12	1.498466111
13	1.495931875
14	1.493603604
15	1.491468207
16	1.489669422
17	1.4880113
18	1.486465005
19	1.485038464
20	1.483681329
21	1.482564748
22	1.481409144
23	1.480375684
24	1.479452042
25	1.478578263
26	1.477794405
27	1.477072303
28	1.476458843
29	1.475894465
30	1.475396518
31	1.474833904
32	1.474347163
33	1.473915074
34	1.473482585
35	1.473125204
36	1.472835125
37	1.472532925
38	1.472259209
39	1.471914666
40	1.471717714
41	1.471536446
42	1.471271922
43	1.471082549
44	1.470927001
45	1.47075807
46	1.470615227
47	1.470429387
48	1.470273267
49	1.470136817
50	1.469995664
51	1.469877598
52	1.469808526
53	1.469692133
54	1.469594963
55	1.469475276
56	1.469411067
57	1.469316228
58	1.469275799
59	1.469227234
60	1.469160303
61	1.469115618
62	1.469050806
63	1.469017503
64	1.468978313
65	1.468860062
66	1.468799569
67	1.468722016
68	1.468696554
69	1.468654213
70	1.468633034
71	1.46861489
72	1.468600782
73	1.468582099
74	1.468506855
75	1.468493381
76	1.468477598
77	1.468438338
78	1.468406187
79	1.468375866
80	1.468362389
81	1.468356225
82	1.468325299
83	1.468315749
84	1.468271119
85	1.468232322
86	1.468181484
87	1.468159045
88	1.468121627
89	1.468109794
90	1.468090932
91	1.468081731
92	1.468063301
93	1.467996568
94	1.467988227
95	1.467935902
96	1.46782659
97	1.467763178
98	1.467745395
99	1.467738728
100	1.467703498
101	1.46769745
102	1.467669556
103	1.467656204
104	1.467635149
105	1.467622473
106	1.467594752
107	1.467574464
108	1.467563142
109	1.467514897
110	1.467481656
111	1.46745103
112	1.467417604
113	1.467397593
114	1.467375702
115	1.467349134
116	1.467339175
117	1.467335252
118	1.46726339
119	1.467256934
120	1.467247035
121	1.467237483
122	1.467177928
123	1.467145341
124	1.467105232
125	1.467088901
126	1.467048337
127	1.46702371
128	1.467010844
129	1.467003113
130	1.466978706
131	1.466952893
132	1.46694365
133	1.466938903
134	1.466924724
135	1.466914175
136	1.466787967
137	1.466769416
138	1.466751019
139	1.466744219
140	1.466706278
141	1.466614542
142	1.466594723
143	1.466580455
144	1.466534172
145	1.466499433
146	1.466485712
147	1.466474032
148	1.466453106
149	1.46643694
150	1.466411248
151	1.466389851
152	1.466338395
153	1.466327689
154	1.466309363
155	1.466306456
156	1.466269517
157	1.466258219
158	1.466225209
159	1.466214147
160	1.466179247
161	1.466151731
162	1.466125122
163	1.466029792
164	1.465933962
165	1.465927576
166	1.46587791
167	1.465870234
168	1.465858441
169	1.465851744
170	1.465837595
171	1.465826277
172	1.465808939
173	1.465770333
174	1.465714497
175	1.465689962
176	1.465654972
177	1.465629645
178	1.465607083
179	1.465572959
180	1.465547932
181	1.46553499
182	1.465506346
183	1.465461974
184	1.46542782
185	1.465400469
186	1.465341383
187	1.465316878
188	1.465282288
189	1.465265507
190	1.465238864
191	1.465216221
192	1.46515374
193	1.465143696
194	1.465102895
195	1.465083022
196	1.465018829
197	1.464996716
198	1.46495687
199	1.464913865
200	1.464853884
201	1.464826024
202	1.464800238
203	1.464770984
204	1.464745943
205	1.464694182
206	1.464652471
207	1.464628963
208	1.46460118
209	1.464538455
210	1.464519834
211	1.464495422
212	1.464478844
213	1.464454856
214	1.464405763
215	1.464372402
216	1.464342014
217	1.464307303
218	1.464260062
219	1.464241204
220	1.464201555
221	1.46416501
222	1.464132569
223	1.464120677
224	1.464062214
225	1.464034948
226	1.463969816
227	1.463945885
228	1.463916347
229	1.463818457
230	1.463750213
231	1.463711279
232	1.463667548
233	1.463618948
234	1.463578874
235	1.463563397
236	1.463527448
237	1.46350179
238	1.46347671
239	1.463441196
240	1.463399324
241	1.463378268
242	1.463348117
243	1.463289708
244	1.463256228
245	1.463214935
246	1.463147188
247	1.463123743
248	1.463101674
249	1.463019802
250	1.462996897
251	1.462964132
252	1.462932397
253	1.462917815
254	1.462876096
255	1.462794639
256	1.462743915
257	1.462664871
258	1.462593169
259	1.462571645
260	1.462548682
261	1.462495204
262	1.462473952
263	1.462447672
264	1.462368589
265	1.462346424
266	1.4623111
267	1.46224939
268	1.462229306
269	1.462214252
270	1.462192062
271	1.462126089
272	1.462082109
273	1.46203772
274	1.462017715
275	1.461983318
276	1.461955813
277	1.461900005
278	1.461885325
279	1.461816338
280	1.461808763
281	1.461788712
282	1.461771448
283	1.461699964
284	1.461671428
285	1.461643125
286	1.461579525
287	1.461522533
288	1.461499207
289	1.461485162
290	1.461440344
291	1.461415185
292	1.461384932
293	1.461351655
294	1.461337182
295	1.461270864
296	1.461208229
297	1.46119155
298	1.461149123
299	1.461094602
